dimension,kappa_true,100,1000,10000,100000
64,10.0,0.2044459244406954,0.0269093707463155,0.0055497727685114,0.0021202914328307
64,50.0,0.0281697797966496,0.0035769004458873,0.00166886032022,0.0005426007170237
64,200.0,0.0188031967253128,0.0025684938110008,0.0017187176374228,0.0005372077288442
64,1000.0,0.0171070337587817,0.0054034124177921,0.0006346040292621,0.0002472608285573
256,10.0,1.8165639273391547,0.2726919286623946,0.0332650112620281,0.0044052484449571
256,50.0,0.134297136266104,0.0142774883584915,0.0019050337091045,0.0006497140274362
256,200.0,0.0196094687680545,0.0029324251502096,0.0011950604167695,0.0004475735371729
256,1000.0,0.0095844780425304,0.0015329166224599,0.000363350330204,0.0001256160386272
1024,10.0,9.288326401096969,2.343319435221325,0.4205413463968437,0.0463755491377837
1024,50.0,1.3092806351864572,0.1921670672603655,0.0195071147702069,0.0021019847391477
1024,200.0,0.1449680808699217,0.0139053185653708,0.001808639775023,0.0004900591625236
1024,1000.0,0.0192321341303029,0.0021824435906397,0.0004443699829278,0.0001252046879688
4096,10.0,40.37091766451289,12.062526083140732,3.213097155631173,0.6402683977935482
4096,50.0,7.333478981305646,1.7769508573291566,0.3011261381562319,0.0332491904487009
4096,200.0,1.311538276943085,0.1972225178037064,0.0201903678955004,0.0017127629487891
4096,1000.0,0.0925376127634069,0.0096306059705385,0.0008084407073675,0.0002747919415344
