dimension,kappa_true,population_r_bar,mpmath_mle,method,kind,kappa_hat,abs_error,rel_error
3,1.0,0.3130352854993313,1.0,Banerjee,closed_form,1.0071199713991716,0.007119971399171643,0.007119971399171643
3,1.0,0.3130352854993313,1.0,Sra two-step (SciPy),sra,0.9999999999852272,1.4772849610267258e-11,1.4772849610267258e-11
3,1.0,0.3130352854993313,1.0,Converged Newton (SciPy),converged,0.9999999999852272,1.4772849610267258e-11,1.4772849610267258e-11
3,1.0,0.3130352854993313,1.0,Banerjee (Torch),closed_form,1.0071199713991716,0.007119971399171643,0.007119971399171643
3,1.0,0.3130352854993313,1.0,Sra two-step (CUSF),sra,0.999999999985227,1.477296063256972e-11,1.477296063256972e-11
3,1.0,0.3130352854993313,1.0,Converged Newton (CUSF),converged,0.999999999985227,1.477296063256972e-11,1.477296063256972e-11
3,1.0,0.3130352854993313,1.0,SciPy Brent,reference,0.999999999999986,1.3988810110276972e-14,1.3988810110276972e-14
3,1.0,0.3130352854993313,1.0,Direct likelihood,reference,0.999999982010852,1.7989147949037942e-08,1.7989147949037942e-08
3,10.0,0.9000000041223073,10.000000000000004,Banerjee,closed_form,10.37368462802128,0.3736846280212802,0.03736846280212802
3,10.0,0.9000000041223073,10.000000000000004,Sra two-step (SciPy),sra,9.999980500958378,1.9499041622239588e-05,1.9499041622239587e-06
3,10.0,0.9000000041223073,10.000000000000004,Converged Newton (SciPy),converged,9.999999999961998,3.800160186528956e-11,3.800160186528956e-12
3,10.0,0.9000000041223073,10.000000000000004,Banerjee (Torch),closed_form,10.37368462802128,0.3736846280212802,0.03736846280212802
3,10.0,0.9000000041223073,10.000000000000004,Sra two-step (CUSF),sra,9.999980500958292,1.9499041707504716e-05,1.9499041707504715e-06
3,10.0,0.9000000041223073,10.000000000000004,Converged Newton (CUSF),converged,9.999999999961991,3.800870729264716e-11,3.800870729264716e-12
3,10.0,0.9000000041223073,10.000000000000004,SciPy Brent,reference,10.000000000000012,1.2434497875801753e-14,1.2434497875801752e-15
3,10.0,0.9000000041223073,10.000000000000004,Direct likelihood,reference,10.000000044738035,4.473803549842614e-08,4.473803549842614e-09
3,50.0,0.98,49.99999999999996,Banerjee,closed_form,50.4749494949494,0.4749494949493993,0.009498989898987986
3,50.0,0.98,49.99999999999996,Sra two-step (SciPy),sra,49.99999959291632,4.0708368231889835e-07,8.141673646377967e-09
3,50.0,0.98,49.99999999999996,Converged Newton (SciPy),converged,50.000000000000675,6.750155989720952e-13,1.3500311979441903e-14
