dimension,kappa_true,num_samples,replicates,seconds,median_r_bar,median_kappa_hat,median_rel_error,p90_rel_error,median_signed_rel_bias,banerjee_median_rel_error
64,10.0,100,16,0.005811374998302199,0.1821298226423957,12.044459244406955,0.20444592444069548,0.3469896233862613,0.20444592444069548,0.20499926389483605
64,10.0,1000,16,0.024904999998398125,0.1563463599250554,10.24944762272899,0.026909370746315543,0.06965516496628155,0.02494476227289901,0.02726364626594018
64,10.0,10000,16,0.1547407500038389,0.15233505290225136,9.97418289485298,0.005549772768511475,0.014810881323434354,-0.002581710514702085,0.005452474811368813
64,10.0,100000,16,1.496236624996527,0.15288995389365637,10.012201116429495,0.0021202914328307897,0.004001187483652658,0.0012201116429495507,0.0022198854196458836
64,50.0,100,16,0.004955666998284869,0.557606736023458,51.408488989832485,0.02816977979664969,0.06185208386809357,0.02816977979664969,0.03076322605579321
64,50.0,1000,16,0.023946375004015863,0.5494600823212521,50.01106548717178,0.003576900445887361,0.014110793947159408,0.00022130974343546937,0.0029066611988817215
64,50.0,10000,16,0.15732866698817816,0.5497471793952116,50.059532286816776,0.0016688603202200626,0.004427027604042735,0.0011906457363354407,0.0036909379341563664
64,50.0,100000,16,1.5137669169926085,0.54928998975812,49.982377567016044,0.0005426007170237313,0.001287625234045109,-0.0003524486596791121,0.0021424780951456055
64,200.0,100,16,0.006092541996622458,0.8562749056921453,202.69883285951232,0.01880319672531286,0.04351893078975131,0.013494164297561681,0.018814733824261652
64,200.0,1000,16,0.025961958002881147,0.8543302058232538,199.7503018733621,0.0025684938110008206,0.0072385407920972965,-0.0012484906331894053,0.002146757777534916
64,200.0,10000,16,0.1631748340005288,0.8545954337869751,200.14719251844463,0.0017187176374228843,0.0035988211182723974,0.0007359625922232027,0.002561335237317408
64,200.0,100000,16,1.525967583002057,0.8544969870550798,199.99970583787103,0.0005372077288442512,0.0011348548559404748,-1.4708106447613984e-06,0.001795612954200223
64,1000.0,100,16,0.006016499988618307,0.9692131676030463,1007.6720316182482,0.01710703375878171,0.030685854314894755,0.007672031618248184,0.017107553318771805
64,1000.0,1000,16,0.026036084003862925,0.9690134810810279,1001.0732675428465,0.005403412417792139,0.00941249912931363,0.0010732675428465086,0.005506418037673086
64,1000.0,10000,16,0.16447737500129733,0.9689798367969223,999.9704168668939,0.0006346040292621637,0.001771893356076248,-2.958313310620042e-05,0.0008561481189243523
64,1000.0,100000,16,1.527154084003996,0.9689811758709583,1000.0142632175482,0.00024726082855738694,0.0010745724342194193,1.4263217548148077e-05,0.0006526948654755529
256,10.0,100,16,0.007544667008914985,0.10873110330350788,28.165639273391548,1.8165639273391547,2.005573167066518,1.8165639273391547,1.816689095708503
256,10.0,1000,16,0.06412041700968985,0.04959319959294358,12.726919286623946,0.27269192866239467,0.33584289050840666,0.27269192866239467,0.2727039092714795
256,10.0,10000,16,0.5599080420070095,0.0402968780873508,10.332650112620282,0.03326501126202812,0.0422200317210403,0.03326501126202812,0.033271443731004526
256,10.0,100000,16,5.4021916249912465,0.03909919826642571,10.024601406647971,0.0044052484449571775,0.008017401755532828,0.002460140664797006,0.004411158755643374
256,50.0,100,16,0.007938958995509893,0.21168517091729244,56.714856813305204,0.134297136266104,0.17890132692415855,0.134297136266104,0.1344763519014136
256,50.0,1000,16,0.060359041002811864,0.19093145614039334,50.71387441792458,0.014277488358491582,0.026949216646719235,0.014277488358491582,0.014409991604440363
256,50.0,10000,16,0.5526822079991689,0.1886224722922903,50.05536871089748,0.0019050337091045576,0.005715332471181184,0.0011073742179496548,0.002033168653222006
256,50.0,100000,16,5.357785792002687,0.1883331097517127,49.972966885678,0.0006497140274362323,0.0014273620147140067,-0.000540662286440039,0.0005224707205222501
256,200.0,100,16,0.008802416996331885,0.5535228955209737,203.9218937536109,0.019609468768054514,0.039829147749560936,0.019609468768054514,0.02025538735161348
256,200.0,1000,16,0.05972937500337139,0.5480023681885776,200.13906152164748,0.002932425150209639,0.006067851194789213,0.0006953076082373145,0.0026986792558301434
256,200.0,10000,16,0.5554952920065261,0.5479961527838939,200.1347730181217,0.0011950604167695643,0.0018055575039014117,0.0006738650906085297,0.001319508700516181
256,200.0,100000,16,5.411938250006642,0.5477482886872813,199.96688009530396,0.0004475735371729428,0.0009761498189144646,-0.00016559952348018213,0.000463301105134164
256,1000.0,100,16,0.010063458001241088,0.8815989482966193,1009.5844780425305,0.009584478042530464,0.024504287896963378,0.009584478042530464,0.009969780780622672
256,1000.0,1000,16,0.061595874998602085,0.8805852531526858,1000.4055448754964,0.0015329166224599929,0.004672891961375399,0.00040554487549644593,0.001872129957167999
256,1000.0,10000,16,0.5636945000005653,0.8805302984627474,999.9123911753113,0.000363350330204014,0.0014448444257697019,-8.760882468874343e-05,0.0005458117687299477
256,1000.0,100000,16,5.444148458991549,0.880539383490416,999.9938812312231,0.00012561603862729954,0.0004962947720042052,-6.118768776900651e-06,0.0003781973666930298
1024,10.0,100,16,0.03066291700815782,0.09947954050260943,102.88326401096967,9.288326401096967,9.485033602555532,9.288326401096967,9.28842351860304
1024,10.0,1000,16,0.22498691600048915,0.03261494055050984,33.43319435221325,2.343319435221325,2.5177517425669795,2.343319435221325,2.3433228874811123
1024,10.0,10000,16,2.188529374994687,0.013869810609724599,14.205413463968437,0.4205413463968437,0.45152947058114556,0.4205413463968437,0.4205416121231503
1024,10.0,100000,16,21.34220045899565,0.010217446520727428,10.463755491377839,0.046375549137783786,0.05654326044143598,0.046375549137783786,0.04637565537776487
1024,50.0,100,16,0.032591541996225715,0.11136212422820546,115.46403175932286,1.3092806351864572,1.3613359778382037,1.3092806351864572,1.3093078169652619
1024,50.0,1000,16,0.2238933330081636,0.058015728821469804,59.60835336301828,0.19216706726036556,0.20922031599508217,0.19216706726036556,0.19217094468333284
1024,50.0,10000,16,2.157487124990439,0.049658103462287564,50.975355738510345,0.019507114770206967,0.027718611122371256,0.019507114770206967,0.019509548381768126
1024,50.0,100000,16,21.12834795800154,0.048808335548329265,50.098852226881384,0.0021019847391477954,0.0037303164140922006,0.001977044537627677,0.002104296589031236
1024,200.0,100,16,0.03185791599389631,0.2134555501782855,228.99361617398435,0.14496808086992174,0.16651350623356542,0.14496808086992174,0.14501443912317946
1024,200.0,1000,16,0.22875408398977015,0.19083003529834963,202.78106371307416,0.013905318565370806,0.021317686867458434,0.013905318565370806,0.013938731016730016
1024,200.0,10000,16,2.151835625001695,0.18871042781577074,200.3617279550046,0.001808639775023053,0.0029037790210798423,0.001808639775023053,0.0018409759309813722
1024,200.0,100000,16,21.1584830829961,0.18842952341748948,200.04154332584886,0.0004900591625236928,0.0008219700636974635,0.00020771662924438773,0.0005222792091922201
1024,1000.0,100,16,0.03153491699777078,0.6168920350728818,1019.2321341303029,0.019232134130302996,0.023771423249694917,0.019232134130302996,0.01940202631617484
1024,1000.0,1000,16,0.22652645800553728,0.6122073519654734,1002.1824435906398,0.0021824435906397637,0.003077828632014587,0.0021824435906397637,0.002349186677180114
1024,1000.0,10000,16,2.158933625003556,0.6116616121514505,1000.221210499463,0.00044436998292781023,0.0011158288870229854,0.000221210499462984,0.0006107895544906796
1024,1000.0,100000,16,21.199040833002073,0.6116135524852901,1000.0487399542925,0.00012520468796884643,0.00028938357988619146,4.8739954292500445e-05,0.00021508582085198215
4096,10.0,100,16,0.09743587499542627,0.09999379266879259,413.7091766451288,40.37091766451289,40.94887693682212,40.37091766451289,40.371016563312054
4096,10.0,1000,16,0.8653343330079224,0.031858580268912105,130.62526083140733,12.062526083140732,12.203316835632787,12.062526083140732,12.062529310273042
4096,10.0,10000,16,8.493968000009772,0.010284794248861851,42.130971556311735,3.213097155631173,3.2624984271680955,3.213097155631173,3.213097264303232
4096,10.0,100000,16,87.14079433400184,0.004004497316584335,16.40268397793548,0.6402683977935482,0.6502113802261575,0.6402683977935482,0.6402683977935482
4096,50.0,100,16,0.09437845800130162,0.10069603957852852,416.67394906528233,7.333478981305646,7.445370270936635,7.333478981305646,7.333499178125656
4096,50.0,1000,16,0.8743842919939198,0.03385948127804461,138.84754286645784,1.7769508573291566,1.829621834810166,1.7769508573291566,1.776951632065424
4096,50.0,10000,16,8.480234374990687,0.01587888468557707,65.0563069078116,0.3011261381562319,0.3140063465309646,0.3011261381562319,0.30112621813293755
4096,50.0,100000,16,85.74138712498825,0.012610900244443887,51.66245952243504,0.03324919044870093,0.038478530642129055,0.03324919044870093,0.033249230515716946
4096,200.0,100,16,0.09358174999943003,0.11146638328989411,462.30765538861704,1.311538276943085,1.3359036464968697,1.311538276943085,1.3115451103481344
4096,200.0,1000,16,0.8553106250037672,0.058259807887859526,239.44450356074128,0.19722251780370642,0.2049234077515507,0.19722251780370642,0.19722350224041252
4096,200.0,10000,16,8.47460454099928,0.04969104187296171,204.0380735791001,0.02019036789550043,0.024796262822119462,0.02019036789550043,0.020190979279041628
4096,200.0,100000,16,85.32971612499387,0.048795354334456795,200.34255258975782,0.0017127629487891482,0.0027573600192773284,0.0017127629487891482,0.0017133419137599758
4096,1000.0,100,16,0.09207212500041351,0.25006105415957747,1092.537612763407,0.09253761276340697,0.10137697445731556,0.09253761276340697,0.09255231780361806
4096,1000.0,1000,16,0.8548143330117455,0.23310396986613302,1009.6306059705386,0.009630605970538567,0.011769069060039385,0.009630605970538567,0.009642610022961833
4096,1000.0,10000,16,8.452942249990883,0.23127459397930533,1000.8084407073675,0.0008084407073675379,0.0014887844594865668,0.0008084407073675379,0.0008201737747224342
4096,1000.0,100000,16,85.74129020799592,0.23113058966086852,1000.1149524280888,0.0002747919415344313,0.00044954355704300043,0.00011495242808882722,0.00028650871999525405
