dimension,kappa_true,num_samples,replicate,r_bar,mpmath_mle,method,kind,kappa_hat,numerical_rel_error,statistical_rel_error
3,1.0,10000,0,0.3002496396077244,0.954039564602535,Banerjee,closed_form,0.9602476366749026,0.0065071432073720995,0.03975236332509735
3,1.0,10000,1,0.31366626211441556,1.002287592926288,Banerjee,closed_form,1.0094550240617344,0.007151072392825178,0.009455024061734374
3,1.0,10000,2,0.30323667173083385,0.9647111092704517,Banerjee,closed_form,0.971123901739248,0.006647370810983937,0.028876098260751992
3,1.0,10000,3,0.3102030300836074,0.9897546313273567,Banerjee,closed_form,0.9966644741649308,0.00698136954237561,0.003335525835069242
3,1.0,10000,4,0.3167084438221965,1.0133433762464463,Banerjee,closed_form,1.0207429793519456,0.007302167536643236,0.02074297935194558
3,1.0,10000,5,0.31196340692198343,0.9961182037993265,Banerjee,closed_form,1.0031580945707095,0.007067324685496091,0.00315809457070948
3,1.0,10000,6,0.31723091615490007,1.015246561815687,Banerjee,closed_form,1.0226866017805503,0.0073283084569696995,0.022686601780550264
3,1.0,10000,7,0.30191608889079197,0.9599883060631635,Banerjee,closed_form,0.966309978655462,0.0065851558319737396,0.033690021344538024
3,1.0,10000,8,0.3249909865924071,1.043670068483327,Banerjee,closed_form,1.0517305706413802,0.007723228251402004,0.0517305706413802
3,1.0,10000,9,0.3158660997733107,1.0102777581148594,Banerjee,closed_form,1.0176125168773378,0.007260140791543052,0.01761251687733778
3,1.0,10000,10,0.3104143933989201,0.9905179279777917,Banerjee,closed_form,0.9974432892105152,0.0069916566243904904,0.0025567107894848284
3,1.0,10000,11,0.3128117239570665,0.9991899305923587,Banerjee,closed_form,1.0062931433536295,0.007108971521620252,0.006293143353629516
3,1.0,10000,12,0.3157401446705101,1.0098196492994151,Banerjee,closed_form,1.017144748855307,0.007253869105214708,0.017144748855306924
3,1.0,10000,13,0.31600685676132817,1.0107897919946944,Banerjee,closed_form,1.0181353564354634,0.007267153367539652,0.01813535643546338
3,1.0,10000,14,0.3072615306379381,0.9791533062205257,Banerjee,closed_form,0.9858498791789552,0.006839146552318649,0.014150120821044831
3,1.0,10000,15,0.3115226512133288,0.9945235684708735,Banerjee,closed_form,1.0015307273287013,0.007045744394576391,0.001530727328701298
3,1.0,10000,16,0.30491172552458295,0.9707127748644916,Banerjee,closed_form,0.9772425538285697,0.006726787916219268,0.022757446171430273
3,1.0,10000,17,0.31669632947794285,1.0132992634003133,Banerjee,closed_form,1.0206979308830395,0.007301562085319809,0.020697930883039506
3,1.0,10000,18,0.3188779455484559,1.021254710340292,Banerjee,closed_form,1.0288233138768423,0.007411083111703229,0.028823313876842338
3,1.0,10000,19,0.3288893168711548,1.0580617860515589,Banerjee,closed_form,1.066448373434144,0.007926368283162195,0.06644837343414389
3,1.0,10000,0,0.3002496396077244,0.954039564602535,Sra two-step (SciPy),sra,0.9540395645949041,7.998510961476966e-12,0.04596043540509587
3,1.0,10000,1,0.31366626211441556,1.002287592926288,Sra two-step (SciPy),sra,1.0022875929110349,1.5218318772346485e-11,0.0022875929110348636
3,1.0,10000,2,0.30323667173083385,0.9647111092704517,Sra two-step (SciPy),sra,0.9647111092615273,9.250869690819478e-12,0.035288890738472745
3,1.0,10000,3,0.3102030300836074,0.9897546313273567,Sra two-step (SciPy),sra,0.9897546313145678,1.2921376352049285e-11,0.010245368685432243
3,1.0,10000,4,0.3167084438221965,1.0133433762464463,Sra two-step (SciPy),sra,1.0133433762286668,1.754544019561746e-11,0.01334337622866677
3,1.0,10000,5,0.31196340692198343,0.9961182037993265,Sra two-step (SciPy),sra,0.9961182037853368,1.404421506939449e-11,0.0038817962146632246
3,1.0,10000,6,0.31723091615490007,1.015246561815687,Sra two-step (SciPy),sra,1.0152465617974349,1.7977964379603726e-11,0.015246561797434888
