dimension,kappa_true,Banerjee,Banerjee (Torch),Converged Newton (CUSF),Converged Newton (SciPy),Direct likelihood,SciPy Brent,Sra two-step (CUSF),Sra two-step (SciPy)
3,1.0,0.0194166436592514,0.0194166436592514,0.013321319805604848,0.01332131980560565,0.0133213426128003,0.01332131982337975,0.013321319805604848,0.01332131980560565
3,10.0,0.03736366348979585,0.03736366348979585,0.0063203277323941,0.00632032773238185,0.00632031089190905,0.0063203277360818,0.0063183978586786,0.0063183978586786
3,50.0,0.009655609708462999,0.009655609708462999,0.00631833653901145,0.0063183365391882,0.00631830545439925,0.0063183365391011,0.00631832853927475,0.00631832853927475
3,200.0,0.0077619820440677,0.0077619820440677,0.0063180357197254,0.006318035716860701,0.006317993161492751,0.0063180357542526,0.0063180357197254,0.006318035716860701
3,1000.0,0.00681671625209685,0.00681671625209685,0.0063179585301418005,0.00631795847275655,0.0063179582223706,0.006317958528552,0.0063179585301418005,0.00631795847275655
16,1.0,0.025203654860408597,0.025203654860408597,0.0250015629918162,0.0250015629918172,0.02500155029128045,0.02500156342321365,0.02500156342321105,0.025001563423210298
16,10.0,0.00837009015353765,0.00837009015353765,0.0044563243871567,0.00445632438715725,0.004456309655385449,0.004456324387157351,0.0044563243683267,0.0044563243683272
16,50.0,0.00459465878982085,0.00459465878982085,0.0032141212547064,0.00321412125473625,0.0032141148381393,0.0032141212547367503,0.0032141233902013497,0.0032141233902078497
16,200.0,0.0027529942379999504,0.0027529942379999504,0.00198291490284805,0.00198291490325215,0.0019829517569505,0.0019829149030876,0.00198291490284805,0.00198291490325215
16,1000.0,0.0020864646599366,0.0020864646599366,0.00206148397158745,0.0020614839639425,0.0020614614976916,0.0020614839677905,0.00206148397158745,0.0020614839639425
64,1.0,0.16839521089968865,0.16839521089968865,0.16838950216991994,0.16838950216991994,0.16838885367379935,0.16838950216994694,0.16838950216995435,0.16838950216994605
64,10.0,0.0044405014132884,0.0044405014132884,0.00476472197591395,0.00476472197589335,0.00476476835336175,0.0047647219758995,0.00476472197591395,0.00476472197589335
64,50.0,0.00290660281477975,0.00290660281477975,0.0024449063533302498,0.0024449063533348,0.00244492197669585,0.0024449063534238,0.0024449063533302498,0.0024449063533348
64,200.0,0.00199868132360345,0.00199868132360345,0.0016392881505799001,0.00163928816423025,0.0016393046547673999,0.0016392881720864502,0.0016392881505799001,0.00163928816423025
64,1000.0,0.0009395469445285,0.0009395469445285,0.00091832283952755,0.00091832283591615,0.0009183299198074,0.00091832283883635,0.00091832283952755,0.00091832283591615
256,1.0,1.7660828285860493,1.7660828285860493,1.7660815872422324,1.7660815872423898,1.7660752850178953,1.7660815872423214,1.7660815872425735,1.7660815872424156
256,10.0,0.02553669416602415,0.02553669416602415,0.02553040462306275,0.025530404623091953,0.025530662261914097,0.0255304046232641,0.025530404623240847,0.025530404623299252
256,50.0,0.00336263310062365,0.00336263310062365,0.0032340329680454498,0.00323403296804445,0.00323392457847965,0.00323403296799525,0.0032340329680454498,0.00323403296804445
256,200.0,0.0008750167598974999,0.0008750167598974999,0.0010662699698748002,0.00106626996983255,0.00106628940389025,0.00106626996981065,0.0010662699698748002,0.00106626996983255
256,1000.0,0.00047217748747525,0.00047217748747525,0.00055105990619695,0.00055105990574835,0.0005510413414706,0.00055105990574335,0.00055105990619695,0.00055105990574835
1024,1.0,9.331411919703868,9.331411919703868,9.331410897098937,9.321323676060178,9.3314127902986,,9.331410897098944,
1024,10.0,0.43014740483468195,0.43014740483468195,0.4301471336825573,0.42875104856264057,0.43014765552879214,,0.4301471336822975,
1024,50.0,0.01977679916792055,0.01977679916792055,0.019774363655910898,0.01878337803310965,0.01977924079306875,,0.019774363655861,
1024,200.0,0.00166815197652095,0.00166815197652095,0.0016358310473115001,0.0016358310473748,0.9999999999999744,0.0016358311522107,0.001635831152412,0.0016358311523835501
1024,1000.0,0.00058111626576,0.00058111626576,0.0005570392973391,0.0005570392979629499,0.000557024411142,0.00055703929775305,0.0005570392973391,0.0005570392979629499
4096,1.0,39.82130858967106,39.82130858967106,39.82130760114054,39.81134343931803,39.82130896209953,,39.82130760119577,
4096,10.0,3.209326627875197,3.209326627875197,3.2093265194945713,3.2082990687240986,3.2093266727357794,,3.20932651949473,
4096,50.0,0.2916177812393081,0.2916177812393081,0.2916177030019918,0.29130252319919914,0.29161784006031405,,0.2916177030016987,
4096,200.0,0.02131082498617775,0.02131082498617775,0.021310211600154748,0.021062098397280453,0.0213114265678983,,0.021310211600366252,
4096,1000.0,0.00104754282765325,0.00104754282765325,0.00103580281685025,0.0008162210278589,0.0010606054564769,,0.0010358028369304001,
