dimension,kappa_true,population_r_bar,banerjee,sra_two_step,cusf_converged,scipy_brentq,direct_likelihood,newton_iterations
3,50,0.98,50.4749494949494,49.99999959291632,50.000000000000675,49.999999999999915,49.999995745030134,3
16,50,0.8599000156617567,50.36062174800419,49.99999989368611,49.999999999998494,49.99999999999996,50.00000007798572,3
64,50,0.5493944888798394,50.124807629533706,49.999999999603524,49.999999999603524,49.99999999999999,49.99999962941469,2
256,50,0.18842805020212178,50.006373485900475,49.999999999999474,49.999999999999474,49.999999999999524,49.99999815999506,2
1024,50,0.048712485232294885,50.00011487116471,49.99999999998185,49.999999999989996,nan,49.99997952437242,1
4096,50,0.012205213689448007,50.00000181613282,49.99999999998327,49.999999999975515,nan,49.99994259419542,1
