dimension,kappa_true,num_samples,seed,r_bar,banerjee,sra_two_step,cusf_converged,scipy_brentq,direct_likelihood,newton_iterations,newton_converged
3,50.0,10000,0,0.9800296756906264,50.54928621105515,50.07429906558165,50.0742994709724,50.07429947097159,50.07429568229065,3,True
3,50.0,10000,1,0.9798916753163861,50.205460706701125,49.730646755724344,49.730647168983104,49.73064716897526,49.7306457858692,3,True
3,50.0,10000,2,0.9799653446466838,50.38841748091054,49.91351107217207,49.91351148121218,49.91351148121843,49.91351089481762,3,True
3,50.0,10000,3,0.9799906238235931,50.451508270043036,49.97657013529945,49.97657054291081,49.97657054291888,49.976566652202806,3,True
3,50.0,10000,4,0.9799844458640018,50.43607485119246,49.96114446994144,49.9611448778998,49.96114487789724,49.961143890499315,3,True
3,50.0,10000,5,0.9798200696144351,50.02890848540822,49.554184403572975,49.554184820936605,49.55418482094075,49.5541814782688,3,True
3,50.0,10000,6,0.9801392802591805,50.82576682681651,50.35064212783092,50.350642527055385,50.350642527053544,50.35063960055392,3,True
3,50.0,10000,7,0.9798425943811997,50.0843107704019,49.60955841859135,49.60955883466656,49.60955883466096,49.60955712792102,3,True
3,50.0,10000,8,0.9800847574646186,50.6878513328224,50.21279505945291,50.21279546174242,50.21279546173751,50.21279651090694,3,True
3,50.0,10000,9,0.9796304071687945,49.56726857781476,49.092782539172696,49.09278296756588,49.09278296756304,49.09278807863436,3,True
3,50.0,10000,10,0.9801402288593148,50.82817301113775,50.35304712166719,50.35304752084816,50.35304752084364,50.353048845982315,3,True
3,50.0,10000,11,0.9801752536422362,50.91717672246669,50.442006877621864,50.44200727483406,50.442007274831106,50.44200295875525,3,True
3,50.0,10000,12,0.9800753046608793,50.664017187553505,50.188972777437215,50.18897318026182,50.18897318026117,50.188973629822684,3,True
3,50.0,10000,13,0.9802073293104895,50.99896244441286,50.52375234553163,50.52375274095344,50.52375274095608,50.52375469303618,3,True
3,50.0,10000,14,0.9800305987564141,50.55160200444736,50.07661370051537,50.07661410585312,50.07661410585308,50.07661498185554,3,True
3,50.0,10000,15,0.9804957253735375,51.74638376092626,51.27081174507285,51.27081212459774,51.27081212460175,51.2708144629064,3,True
3,50.0,10000,16,0.9802061211474702,50.99587709954348,50.5206685168812,50.5206689123593,50.52066891235871,50.52066794599,3,True
3,50.0,10000,17,0.9799042241808351,50.23653090108209,49.761701200715315,49.76170161324416,49.76170161324754,49.7617001958054,3,True
3,50.0,10000,18,0.9798283073456577,50.049155800531516,49.57442137981152,49.57442179671828,49.57442179671187,49.57441602350232,3,True
3,50.0,10000,19,0.9800235249594013,50.533860678424276,50.05888125217989,50.05888165792531,50.05888165793374,50.058876235678454,3,True
16,50.0,10000,0,0.8593704748654305,50.15736440228734,49.79724513103814,49.79724523793156,49.79724523793138,49.79724538893005,3,True
16,50.0,10000,1,0.8599553472691128,50.381947993869034,50.021273612436225,50.02127371869174,50.02127371869122,50.02127338698122,3,True
16,50.0,10000,2,0.8601552709044452,50.459143214320406,50.09827902302731,50.09827912906068,50.09827912906125,50.09827875639236,3,True
16,50.0,10000,3,0.8601963515814895,50.47503253912856,50.11412934159253,50.11412944758105,50.11412944758182,50.114128916550186,3,True
