method,batch_size,median_seconds,estimates_per_second
Banerjee,65536,0.00023508298909291625,278778146.6148407
Sra two-step,65536,0.009640625037718564,6797899.487179824
CUSF converged Newton,65536,0.02514295803848654,2606534.994795898
Direct likelihood,65536,0.3834250420331955,170922.58672641977
SciPy Brent reference,1000,0.019867833994794637,50332.61301971818
